u,g,r,i,z,u-g,g-r,r-i,i-z,Class
19.89225,18.89436,18.6141,18.49659,18.49417,0.99789,0.28026,0.11751,0.00242,1
19.98809,19.00663,18.69901,18.5904,18.52708,0.98146,0.30762,0.10861,0.06332,1
19.70277,18.65803,18.35476,18.237,18.26605,1.04474,0.30327,0.11776,-0.02905,1
19.65829,18.91271,18.7057,18.56816,18.44743,0.74558,0.20701,0.13754,0.12073,1
19.81625,18.77969,18.49825,18.4127,18.43065,1.03656,0.28144,0.08555,-0.01795,1
20.72421,19.72936,19.41224,19.27781,19.25558,0.99485,0.31712,0.13443,0.02223,1
20.37844,19.36629,19.07586,18.96538,18.99535,1.01215,0.29043,0.11048,-0.02997,1
21.41117,20.36551,19.95588,19.75777,19.81127,1.04566,0.40963,0.19811,-0.0535,1
21.2883,20.27926,19.90753,19.79118,19.81482,1.00904,0.37173,0.11635,-0.02364,1
20.15732,19.28708,18.93245,18.82986,18.86069,0.87024,0.35463,0.10259,-0.03083,1
20.9186,19.87408,19.55245,19.40596,19.46435,1.04452,0.32163,0.14649,-0.05839,1
20.77285,19.6719,19.27002,19.0787,18.97429,1.10095,0.40188,0.19132,0.10441,1
20.47132,19.49955,19.2167,19.09931,19.08571,0.97177,0.28285,0.11739,0.0136,1
19.64464,18.5745,18.24376,18.13831,18.08735,1.07014,0.33074,0.10545,0.05096,1
19.73437,18.73381,18.48374,18.40133,18.36171,1.00056,0.25007,0.08241,0.03962,1
19.67109,18.73416,18.47761,18.38465,18.40473,0.93693,0.25655,0.09296,-0.02008,1
21.10282,20.08903,19.6632,19.53449,19.57557,1.01379,0.42583,0.12871,-0.04108,1
20.98298,20.05332,19.66025,19.53704,19.53297,0.92966,0.39307,0.12321,0.00407,1
20.98291,19.9881,19.64949,19.53622,19.52582,0.99481,0.33861,0.11327,0.0104,1
21.08533,20.2407,19.86714,19.67346,19.76027,0.84463,0.37356,0.19368,-0.08681,1
21.60794,20.35528,19.93401,19.7385,19.60847,1.25266,0.42127,0.19551,0.13003,1
21.34499,20.28346,19.87605,19.75565,19.73737,1.06153,0.40741,0.1204,0.01828,1
21.08343,20.16484,19.81364,19.60714,19.53293,0.91859,0.3512,0.2065,0.07421,1
21.08247,20.19996,19.84316,19.69269,19.62809,0.88251,0.3568,0.15047,0.0646,1
21.78165,20.41841,19.91142,19.57255,19.66707,1.36324,0.50699,0.33887,-0.09452,1
20.3603,19.63111,19.24042,19.12298,19.1941,0.72919,0.39069,0.11744,-0.07112,1
20.618,19.64496,19.29352,19.13196,19.26382,0.97304,0.35144,0.16156,-0.13186,1
19.90106,18.94058,18.62666,18.49856,18.59928,0.96048,0.31392,0.1281,-0.10072,1
19.77303,18.91562,18.64942,18.52694,18.56218,0.85741,0.2662,0.12248,-0.03524,1
20.88436,19.8831,19.55414,19.43637,19.45757,1.00126,0.32896,0.11777,-0.0212,1
20.71722,19.52497,19.14658,19.01633,19.03964,1.19225,0.37839,0.13025,-0.02331,1
21.23005,20.25106,19.86892,19.7507,19.58144,0.97899,0.38214,0.11822,0.16926,1
21.02129,20.43768,19.91367,19.58334,19.33519,0.58361,0.52401,0.33033,0.24815,1
21.46533,20.3942,19.98468,19.78887,19.81196,1.07113,0.40952,0.19581,-0.02309,1
21.20683,20.27499,19.9546,19.85202,19.98924,0.93184,0.32039,0.10258,-0.13722,1
