u,g,r,i,z,u-g,g-r,r-i,i-z
20.39758,19.54643,19.26374,19.21096,19.18912,0.85115,0.28269,0.05278,0.02184
21.91467,19.33431,18.21017,17.7677,17.55789,2.58036,1.12414,0.44247,0.20981
20.36645,19.45693,19.22081,19.1204,18.99675,0.90952,0.23612,0.10041,0.12365
20.02848,19.10472,18.89439,18.79162,18.77801,0.92376,0.21033,0.10277,0.01361
19.20139,17.74576,17.1688,16.80489,16.63232,1.45563,0.57696,0.36391,0.17257
20.98986,20.15917,19.71305,19.52422,19.48769,0.83069,0.44612,0.18883,0.03653
20.92433,20.09014,19.79146,19.56193,19.7524,0.83419,0.29868,0.22953,-0.19047
16.00134,14.33627,13.36056,13.04228,13.19826,1.66507,0.97571,0.31828,-0.15598
20.71797,19.84771,19.54562,19.35564,22.82811,0.87026,0.30209,0.18998,-3.47247
17.6459,16.29618,15.8165,15.67704,15.5954,1.34972,0.47968,0.13946,0.08164
18.97105,17.91349,17.49836,17.35872,17.29448,1.05756,0.41513,0.13964,0.06424
20.02078,19.09447,18.83889,18.75141,18.84221,0.92631,0.25558,0.08748,-0.0908
18.45241,16.81518,16.18557,15.95561,15.8269,1.63723,0.62961,0.22996,0.12871
22.75236,19.60553,18.24306,17.08141,16.46917,3.14683,1.36247,1.16165,0.61224
19.31446,18.28275,17.97422,17.88664,17.89248,1.03171,0.30853,0.08758,-0.00584
17.12411,15.64006,15.13661,15.0047,14.94914,1.48405,0.50345,0.13191,0.05556
16.18958,14.97118,14.85165,14.84361,14.81034,1.2184,0.11953,0.00804,0.03327
15.64877,14.65252,14.55741,14.229,13.33909,0.99625,0.09511,0.32841,0.88991
19.23016,18.3024,18.00498,17.90059,17.92182,0.92776,0.29742,0.10439,-0.02123
19.5516,18.16915,17.67501,17.51766,17.46631,1.38245,0.49414,0.15735,0.05135
19.86069,18.92849,18.71424,18.6445,18.69504,0.9322,0.21425,0.06974,-0.05054
20.11109,19.15678,18.8796,18.79799,18.86124,0.95431,0.27718,0.08161,-0.06325
16.82334,16.36074,16.67595,16.95703,17.18259,0.4626,-0.31521,-0.28108,-0.22556
20.97947,23.35017,19.81709,22.49563,19.93428,-2.3707,3.53308,-2.67854,2.56135
17.9658,16.8994,16.51492,16.4039,16.37949,1.0664,0.38448,0.11102,0.02441
21.01829,19.90415,19.60219,19.5186,19.64724,1.11414,0.30196,0.08359,-0.12864
20.50377,19.50831,19.09131,19.03989,19.04683,0.99546,0.417,0.05142,-0.00694
18.51099,17.3408,16.99619,20.32621,16.81014,1.17019,0.34461,-3.33002,3.51607
19.98946,18.98652,18.73187,18.66716,18.67735,1.00294,0.25465,0.06471,-0.01019
19.68462,18.78899,18.57039,18.50928,18.51809,0.89563,0.2186,0.06111,-0.00881
21.18847,20.30361,19.94095,19.85372,19.82406,0.88486,0.36266,0.08723,0.02966
19.30285,18.36347,18.1099,18.02377,18.04146,0.93938,0.25357,0.08613,-0.01769
19.91078,18.93274,18.69221,18.6192,18.63404,0.97804,0.24053,0.07301,-0.01484
16.42908,14.98056,14.36546,14.10973,13.94392,1.44852,0.6151,0.25573,0.16581
21.734,22.27515,16.68424,16.35644,16.17051,-0.54115,5.59091,0.3278,0.18593
20.67697,19.74049,19.47271,19.41292,19.3881,0.93648,0.26778,0.05979,0.02482
20.823,19.87691,19.63608,19.51772,19.41439,0.94609,0.24083,0.11836,0.10333
15.81645,14.45601,13.89377,15.40087,13.49694,1.36044,0.56224,-1.5071,1.90393
20.57923,19.77891,19.51485,19.37666,19.57823,0.80032,0.26406,0.13819,-0.20157
20.99277,20.22573,19.87828,19.75645,19.82906,0.76704,0.34745,0.12183,-0.07261
20.37804,19.52563,19.24506,19.16662,19.08295,0.85241,0.28057,0.07844,0.08367
19.7988,18.84604,18.65123,18.53211,18.58924,0.95276,0.19481,0.11912,-0.05713
20.48665,19.64091,19.36022,19.2747,19.2429,0.84574,0.28069,0.08552,0.0318
20.96453,19.97134,19.69821,19.57674,19.61564,0.99319,0.27313,0.12147,-0.0389
19.69675,18.78142,18.5691,18.47139,18.63594,0.91533,0.21232,0.09771,-0.16455
22.29332,19.62914,18.36466,17.86184,17.55127,2.66418,1.26448,0.50282,0.31057
20.73218,19.89247,19.612,19.51471,19.49421,0.83971,0.28047,0.09729,0.0205
20.9168,20.1558,19.84694,19.71162,19.70287,0.761,0.30886,0.13532,0.00875
19.8098,18.91777,18.63399,18.52219,18.5552,0.89203,0.28378,0.1118,-0.03301
20.52941,19.71988,19.45609,19.3616,19.43309,0.80953,0.26379,0.09449,-0.07149
20.15989,19.2269,19.01681,18.9169,18.94998,0.93299,0.21009,0.09991,-0.03308
20.67545,19.88842,19.63212,19.49003,19.68074,0.78703,0.2563,0.14209,-0.19071
21.13719,20.24716,19.94989,19.7908,19.80548,0.89003,0.29727,0.15909,-0.01468
19.30026,18.35699,18.14092,18.02225,18.07062,0.94327,0.21607,0.11867,-0.04837
19.04471,18.03659,17.68771,17.50631,17.47111,1.00812,0.34888,0.1814,0.0352
20.35485,19.44576,19.13108,18.99061,18.95397,0.90909,0.31468,0.14047,0.03664
20.30886,19.47114,19.28318,19.244,19.23483,0.83772,0.18796,0.03918,0.00917
23.55578,20.82269,19.40193,18.5766,18.14054,2.73309,1.42076,0.82533,0.43606
19.39154,17.39468,16.68659,16.46785,16.3627,1.99686,0.70809,0.21874,0.10515
18.86015,17.35129,16.86164,16.69104,16.62568,1.50886,0.48965,0.1706,0.06536
22.87546,20.33306,19.03152,18.4173,18.02662,2.5424,1.30154,0.61422,0.39068
