r0,g0-r0,Class
16.8883356,0.4668804,1
16.8783356,0.4408804,1
17.2503356,0.4668804,1
17.2973356,0.4328804,1
17.3043356,0.4538804,1
17.8353356,0.4628804,1
17.8713356,0.4788804,1
17.8893356,0.4448804,1
17.8743356,0.5258804,1
18.0703356,0.5018804,1
18.1073356,0.5138804,1
18.2503356,0.5318804,1
18.2213356,0.5548804,1
18.2523356,0.5358804,1
18.3053356,0.5598804,1
18.4733356,0.6388804,1
18.5143356,0.6378804,1
18.5063356,0.5948804,1
18.5223356,0.5848804,1
18.5343356,0.5668804,1
18.6183356,0.6218804,1
18.6243356,0.5808804,1
18.6803356,0.6288804,1
18.7003356,0.6248804,1
18.7463356,0.6458804,1
18.9983356,0.6888804,1
19.0923356,0.6698804,1
18.9163356,0.6488804,1
19.2483356,0.7088804,1
19.9003356,1.1008804,1
19.3443356,0.7768804,1
19.4963356,0.7848804,1
19.6703356,0.8168804,1
19.5043356,0.8918804,1
19.6233356,0.7788804,1
20.1013356,1.1418804,1
19.0153356,0.6218804,1
18.1353356,0.4868804,1
18.4753356,0.6018804,1
18.6863356,0.5958804,1
19.1073356,0.6978804,1
19.2223356,0.8168804,1
17.0053356,0.4688804,1
16.9123356,0.5128804,1
16.8923356,0.4428804,1
16.9883356,0.4458804,1
17.0283356,0.4748804,1
16.9873356,0.4658804,1
17.0413356,0.4908804,1
17.1143356,0.4098804,1
17.0983356,0.4548804,1
17.0653356,0.4968804,1
17.1203356,0.3728804,1
17.1283356,0.4308804,1
17.2443356,0.4998804,1
17.1513356,0.4278804,1
17.1273356,0.4778804,1
17.1963356,0.4608804,1
17.2763356,0.4388804,1
17.3203356,0.3918804,1
17.3443356,0.4538804,1
17.2523356,0.5058804,1
17.2733356,0.4078804,1
17.2543356,0.4958804,1
17.3193356,0.4908804,1
17.3473356,0.4698804,1
17.5073356,0.5138804,1
17.4483356,0.5418804,1
17.3883356,0.4768804,1
17.4023356,0.4938804,1
17.4153356,0.4748804,1
17.4373356,0.4608804,1
17.5203356,0.4638804,1
17.4533356,0.4978804,1
17.4783356,0.4798804,1
17.4653356,0.4558804,1
17.5833356,0.5188804,1
17.6063356,0.5418804,1
17.4723356,0.5278804,1
17.6743356,0.4108804,1
17.6983356,0.4988804,1
17.8433356,0.5488804,1
17.7903356,0.5128804,1
17.8313356,0.4168804,1
17.9173356,0.5678804,1
17.8813356,0.4818804,1
17.8913356,0.4708804,1
17.9493356,0.4898804,1
17.9403356,0.5028804,1
17.8933356,0.5498804,1
18.0283356,0.5568804,1
17.9573356,0.5218804,1
18.0223356,0.4568804,1
18.1563356,0.5008804,1
18.0093356,0.5338804,1
18.1413356,0.4988804,1
18.0783356,0.5078804,1
18.1003356,0.5278804,1
18.0963356,0.5018804,1
18.2873356,0.4858804,1
18.1683356,0.5478804,1
18.4673356,0.5318804,1
18.2313356,0.5898804,1
18.3133356,0.4958804,1
18.3013356,0.5878804,1
18.2393356,0.4748804,1
18.2103356,0.5138804,1
18.3383356,0.4908804,1
