u,g,r,i,z,u-g,g-r,r-i,i-z,Class
19.98007,18.9183,18.62592,18.5197,18.539179999999998,1.06177,0.29238000000000003,0.10622000000000001,-0.019479999999999997,1.0
21.04421,20.16463,19.861639999999998,19.7497,19.85194,0.8795799999999999,0.30299,0.11194000000000001,-0.10224,1.0
20.54852,19.68863,19.396720000000002,19.32131,19.35245,0.8598899999999999,0.29191,0.07541,-0.03114,1.0
20.54567,19.597,19.31512,19.15373,19.29352,0.9486700000000001,0.28188,0.16139,-0.13979000000000003,1.0
20.472379999999998,19.46898,19.0751,18.90493,18.77758,1.0034,0.39388,0.17017000000000002,0.12735,1.0
19.689239999999998,18.69935,18.32623,18.15201,18.11806,0.9898899999999999,0.37312,0.17422,0.03395,1.0
19.817120000000003,18.90458,18.64474,18.53641,18.55445,0.91254,0.25984,0.10833,-0.01804,1.0
21.21721,20.287010000000002,19.990579999999998,19.84835,19.9711,0.9302,0.29643,0.14223,-0.12274999999999997,1.0
20.793470000000003,19.79399,19.45091,19.404339999999998,19.52584,0.9994799999999999,0.34308,0.04657,-0.1215,1.0
20.69281,19.70907,19.446939999999998,19.36018,19.302970000000002,0.98374,0.26213000000000003,0.08676,0.057210000000000004,1.0
20.9849,19.95871,19.6808,19.52802,19.528489999999998,1.02619,0.27791,0.15278,-0.0004699999999999982,1.0
20.73085,19.63725,19.34828,19.2608,19.28785,1.0936,0.28897,0.08748,-0.027050000000000005,1.0
21.214779999999998,20.22916,19.90138,19.73043,19.899160000000002,0.98562,0.32778,0.17095,-0.16872999999999996,1.0
20.217760000000002,19.19811,18.92592,18.822229999999998,18.83074,1.01965,0.27219,0.10369,-0.008510000000000004,1.0
20.94954,20.08447,19.80584,19.63739,19.6402,0.8650700000000001,0.27863000000000004,0.16845,-0.00281,1.0
20.63877,19.78364,19.516560000000002,19.428179999999998,19.409029999999998,0.85513,0.26708000000000004,0.08838,0.01915,1.0
21.07199,20.07591,19.76215,19.61597,19.77308,0.99608,0.31376,0.14618,-0.15711,1.0
20.8153,19.93105,19.605629999999998,19.51836,19.42738,0.88425,0.32542,0.08727,0.09097999999999999,1.0
20.610889999999998,19.69339,19.43034,19.28634,19.436329999999998,0.9175,0.26305,0.14400000000000002,-0.14999,1.0
20.14033,19.184160000000002,18.915589999999998,18.824170000000002,18.86982,0.9561700000000001,0.26857,0.09142,-0.045649999999999996,1.0
19.90416,18.89181,18.601679999999998,18.463079999999998,18.50238,1.01235,0.29013,0.1386,-0.039300000000000015,1.0
20.387829999999997,19.38242,19.08234,18.97107,18.886229999999998,1.0054100000000001,0.30008,0.11127000000000001,0.08484,1.0
21.247220000000002,20.30153,19.99417,19.91384,20.15428,0.9456899999999999,0.30735999999999997,0.08033,-0.24044000000000004,1.0
20.45346,19.43929,19.199720000000003,19.07102,19.096510000000002,1.01417,0.23956999999999998,0.1287,-0.02549,1.0
19.66365,18.527520000000003,18.07359,17.86515,17.82143,1.1361299999999999,0.45393,0.20844000000000001,0.04372,2.0
20.64934,19.62323,19.33105,19.22121,19.34591,1.02611,0.29218,0.10984000000000001,-0.1247,1.0
18.89762,17.613,17.0843,16.82696,16.768620000000002,1.28462,0.5287,0.25734,0.058339999999999996,3.0
19.01941,17.75305,17.2121,16.95985,16.886,1.26636,0.54095,0.25225,0.07385,3.0
22.88306,20.553420000000003,19.89912,19.62894,19.54683,2.32964,0.6543,0.27018000000000003,0.08211,1.0
19.78656,18.78024,18.40654,18.27834,18.25754,1.00632,0.3737,0.1282,0.020799999999999996,1.0
20.960729999999998,20.16743,19.863129999999998,19.750339999999998,19.74009,0.7933,0.3043,0.11279000000000002,0.010250000000000002,1.0
20.32486,19.33997,19.042360000000002,18.95075,18.9862,0.9848899999999999,0.29761,0.09161,-0.03545000000000001,1.0
19.55235,18.50675,18.062829999999998,17.85541,17.781879999999997,1.0456,0.44392,0.20742,0.07353,2.0
20.966929999999998,19.95397,19.65174,19.536920000000002,19.64526,1.01296,0.30223,0.11482,-0.10833999999999999,1.0
20.468220000000002,19.50995,19.20025,19.094,19.069689999999998,0.9582700000000001,0.3097,0.10625,0.02431,1.0
20.0462,19.151629999999997,18.84715,18.74106,18.8005,0.8945700000000001,0.30448000000000003,0.10609,-0.05943999999999999,1.0
21.142329999999998,20.287,19.83936,19.66325,19.70709,0.8553299999999999,0.44764,0.17611,-0.04383999999999999,1.0
21.1991,20.360879999999998,19.95084,19.754179999999998,20.15416,0.8382200000000001,0.41003999999999996,0.19666,-0.39998,1.0
20.3015,19.35353,19.06961,18.95785,19.03969,0.9479700000000001,0.28392,0.11175999999999998,-0.08184,1.0
21.10823,20.1509,19.83922,19.681720000000002,19.629070000000002,0.9573299999999999,0.31168,0.1575,0.05265,1.0
20.606579999999997,19.55657,19.3168,19.20909,19.2688,1.05001,0.23976999999999998,0.10770999999999999,-0.05971,1.0
21.21414,20.2416,19.91372,19.829279999999997,19.81695,0.97254,0.32788,0.08444,0.01233,1.0
21.311339999999998,20.2232,19.84299,19.75188,19.77996,1.0881399999999999,0.38021,0.09111,-0.028079999999999994,1.0
20.884539999999998,19.78904,19.46565,19.38542,19.30641,1.0955,0.32339,0.08023,0.07901,1.0
20.41291,19.44227,19.08539,18.953889999999998,18.91762,0.97064,0.35688000000000003,0.1315,0.03627,1.0
19.8328,18.905379999999997,18.59604,18.495820000000002,18.465970000000002,0.92742,0.30934,0.10022,0.02985,1.0
19.70991,18.79016,18.4631,18.37371,18.33318,0.91975,0.32706,0.08939,0.040530000000000004,1.0
17.64248,16.23917,15.60762,15.34695,15.216529999999999,1.40331,0.63155,0.26066999999999996,0.13042,3.0
21.72729,20.32057,19.89723,19.73349,19.76081,1.40672,0.42333999999999994,0.16374,-0.027319999999999997,1.0
20.93844,20.06958,19.75423,19.63116,19.58451,0.8688600000000001,0.31535,0.12307,0.04665,1.0
20.73351,19.81221,19.54539,19.400760000000002,19.43787,0.9213,0.26682,0.14463,-0.037110000000000004,1.0
20.62879,19.765179999999997,19.41926,19.233520000000002,19.07232,0.86361,0.34592,0.18574000000000002,0.1612,1.0
19.94709,19.07665,18.80077,18.70244,18.65858,0.87044,0.27588,0.09833,0.04386,1.0
23.61594,20.309379999999997,18.82581,17.47844,16.80302,3.30656,1.48357,1.3473700000000002,0.6754199999999999,3.0
16.70502,14.7724,14.0562,13.9109,13.42525,1.93262,0.7162,0.1453,0.4856500000000001,3.0
20.96895,20.0948,19.789839999999998,19.635679999999997,19.71011,0.87415,0.30496,0.15416,-0.07443,1.0
19.92783,18.91648,18.63684,18.54364,18.59427,1.01135,0.27964,0.0932,-0.05063000000000001,1.0
17.10678,15.933,15.704989999999999,15.61894,15.61108,1.1737799999999998,0.22801,0.08605,0.007859999999999999,3.0
21.189870000000003,20.2943,19.967570000000002,19.78642,19.74466,0.8955700000000001,0.32673,0.18115,0.041760000000000005,1.0
21.740470000000002,20.287229999999997,19.81326,20.27025,20.07219,1.4532399999999999,0.47397,-0.45699,0.19805999999999999,1.0
21.2044,20.15871,19.84165,19.72267,19.77524,1.04569,0.31706,0.11897999999999999,-0.052570000000000006,1.0
22.30854,20.22499,19.18214,18.54049,18.20647,2.08355,1.04285,0.64165,0.33402,1.0
20.62143,19.63654,19.27358,19.16992,19.16667,0.9848899999999999,0.36296,0.10365999999999999,0.003250000000000003,1.0
20.25824,19.280720000000002,19.0188,18.89435,18.96107,0.9775200000000001,0.26192,0.12445,-0.06672,1.0
19.67915,18.66133,18.23316,18.03666,18.025570000000002,1.0178200000000002,0.42817,0.1965,0.011090000000000003,2.0
18.17513,17.0007,16.48573,16.256970000000003,16.1692,1.1744299999999999,0.5149699999999999,0.22876,0.08777,3.0
17.095129999999997,15.867379999999999,15.36721,15.15889,15.075520000000001,1.22775,0.50017,0.20831999999999998,0.08337,3.0
21.015520000000002,20.03129,19.72455,19.59478,19.50978,0.9842299999999999,0.30674,0.12977,0.085,1.0
20.477,19.51855,19.212020000000003,19.13644,19.27809,0.95845,0.30653,0.07558,-0.14165,1.0
18.62604,17.36788,16.838179999999998,16.60626,16.518539999999998,1.25816,0.5297,0.23192,0.08772,3.0
21.39685,20.069329999999997,19.79259,19.653760000000002,19.8419,1.32752,0.27674,0.13883,-0.18814,1.0
21.16416,20.0693,19.79331,19.69015,19.629379999999998,1.09486,0.27599,0.10315999999999999,0.060770000000000005,1.0
20.77891,19.89881,19.599420000000002,19.49342,19.508110000000002,0.8801,0.29939,0.106,-0.014689999999999995,1.0
18.01448,16.703139999999998,16.1232,15.8784,15.76462,1.31134,0.57994,0.2448,0.11377999999999999,3.0
21.12924,20.26011,19.92354,19.813370000000003,19.79951,0.86913,0.33657,0.11017,0.013859999999999997,1.0
20.151229999999998,19.19858,18.93835,18.84306,18.89039,0.95265,0.26023,0.09529,-0.04733000000000001,1.0
16.970129999999997,15.80049,15.37786,15.203870000000002,15.143529999999998,1.16964,0.42263,0.17399,0.06034,3.0
21.323529999999998,20.33432,19.98461,19.8039,20.057170000000003,0.98921,0.34970999999999997,0.18070999999999998,-0.25327,1.0
20.669179999999997,19.699939999999998,19.4182,19.271520000000002,19.253770000000003,0.96924,0.28174,0.14668,0.017750000000000002,1.0
20.44941,19.360960000000002,19.10012,18.978070000000002,18.99354,1.08845,0.26084,0.12205,-0.015469999999999998,1.0
19.79143,18.804489999999998,18.4549,18.32834,18.275170000000003,0.9869399999999999,0.34959,0.12655999999999998,0.05317,1.0
20.4382,19.52024,19.23483,19.120910000000002,19.22833,0.91796,0.28541,0.11392000000000001,-0.10742000000000002,1.0
20.410829999999997,19.455920000000003,19.1957,19.04975,19.08548,0.95491,0.26022,0.14595,-0.03573,1.0
20.35815,19.36672,19.08546,18.9824,19.043029999999998,0.9914299999999999,0.28126,0.10305999999999998,-0.06062999999999999,1.0
20.412,19.411620000000003,19.12729,18.96463,19.08371,1.0003799999999998,0.28433,0.16266,-0.11907999999999999,1.0
20.37012,19.415229999999998,19.13393,18.97435,19.17173,0.95489,0.2813,0.15958,-0.19738,1.0
20.39742,19.41527,19.12924,19.01836,18.98501,0.98215,0.28603,0.11087999999999999,0.03335,1.0
20.601679999999998,19.900579999999998,19.60312,19.55424,19.67895,0.7011,0.29746,0.04888,-0.12470999999999999,1.0
20.89704,19.98266,19.73374,19.62481,19.59995,0.91438,0.24891999999999997,0.10893,0.024860000000000004,1.0
20.38025,19.41966,19.192439999999998,19.097089999999998,19.14564,0.9605899999999999,0.22721999999999998,0.09535,-0.048549999999999996,1.0
20.43457,19.44535,19.133,19.019170000000003,19.074679999999997,0.9892200000000001,0.31235,0.11383,-0.055510000000000004,1.0
20.3736,19.38717,19.10884,18.98463,18.98578,0.9864299999999999,0.27833,0.12420999999999999,-0.0011499999999999982,1.0
20.35397,19.41872,19.12943,19.011210000000002,18.96283,0.93525,0.28929,0.11822,0.04838,1.0
20.318260000000002,19.3866,19.091520000000003,18.916710000000002,19.20896,0.93166,0.29508,0.17481,-0.29225,1.0
20.447110000000002,19.40309,19.17735,19.04299,19.10752,1.0440200000000002,0.22574,0.13435999999999998,-0.06452999999999999,1.0
20.23334,19.28762,18.998920000000002,18.86603,19.00303,0.9457200000000001,0.2887,0.13289,-0.13699999999999998,1.0
20.264870000000002,19.35259,19.07886,18.95815,19.00167,0.91228,0.27373000000000003,0.12070999999999998,-0.04352,1.0
20.34262,19.359270000000002,19.06202,18.9747,18.94051,0.98335,0.29725,0.08732000000000001,0.03419,1.0
20.39491,19.37024,19.02892,18.86646,18.8846,1.02467,0.34131999999999996,0.16246,-0.018140000000000003,1.0
20.20415,19.25572,18.95244,18.80785,18.958270000000002,0.9484299999999999,0.30328,0.14459,-0.15042,1.0
20.26128,19.27991,19.02105,18.86832,18.85464,0.9813700000000001,0.25886,0.15273,0.013679999999999998,1.0
20.11585,19.126929999999998,18.85578,18.73081,18.75899,0.98892,0.27115,0.12497,-0.028179999999999997,1.0
20.2021,19.21678,18.998170000000002,18.83755,18.85143,0.9853200000000001,0.21860999999999997,0.16062,-0.013880000000000003,1.0
20.25905,19.261860000000002,18.94602,18.857870000000002,18.94055,0.9971899999999999,0.31584,0.08815,-0.08267999999999998,1.0
20.039279999999998,19.10884,18.838060000000002,18.77454,18.81465,0.9304399999999999,0.27078,0.06352000000000001,-0.04011000000000001,1.0
20.07369,19.12441,18.838070000000002,18.69572,18.8043,0.9492799999999999,0.28634,0.14235,-0.10858000000000001,1.0
19.94654,18.92253,18.70789,18.60709,18.59512,1.02401,0.21464,0.1008,0.011970000000000001,1.0
