u,g,r,i,z,u-g,g-r,r-i,i-z,Class
20.397579999999998,19.546429999999997,19.26374,19.21096,19.189120000000003,0.85115,0.28269,0.052779999999999994,0.021840000000000002,1.0
21.91467,19.334310000000002,18.21017,17.7677,17.55789,2.5803599999999998,1.12414,0.44247000000000003,0.20981,3.0
20.36645,19.45693,19.22081,19.1204,18.99675,0.9095200000000001,0.23611999999999997,0.10041,0.12365,1.0
20.02848,19.10472,18.894389999999998,18.79162,18.778010000000002,0.92376,0.21033000000000002,0.10277,0.013609999999999997,1.0
19.20139,17.74576,17.1688,16.80489,16.63232,1.45563,0.57696,0.36391,0.17257,3.0
20.98986,20.15917,19.71305,19.52422,19.48769,0.8306899999999999,0.44611999999999996,0.18883,0.03653,1.0
20.924329999999998,20.090139999999998,19.79146,19.56193,19.7524,0.83419,0.29868,0.22953,-0.19047,1.0
16.00134,14.33627,13.360560000000001,13.04228,13.198260000000001,1.66507,0.9757100000000001,0.31828,-0.15597999999999998,3.0
20.71797,19.84771,19.54562,19.35564,22.828110000000002,0.87026,0.30209,0.18997999999999998,-3.472469999999999,1.0
17.6459,16.29618,15.8165,15.67704,15.5954,1.34972,0.47968,0.13946,0.08164,3.0
18.97105,17.91349,17.49836,17.35872,17.29448,1.05756,0.41513,0.13964000000000001,0.06423999999999999,2.0
20.02078,19.09447,18.83889,18.75141,18.84221,0.9263100000000001,0.25558000000000003,0.08748,-0.09079999999999999,1.0
18.45241,16.815179999999998,16.185570000000002,15.95561,15.8269,1.63723,0.62961,0.22996,0.12871,3.0
22.75236,19.605529999999998,18.24306,17.08141,16.469170000000002,3.1468300000000005,1.36247,1.16165,0.6122399999999999,3.0
19.31446,18.28275,17.974220000000003,17.88664,17.89248,1.0317100000000001,0.30853,0.08757999999999999,-0.005839999999999998,2.0
17.12411,15.64006,15.136610000000001,15.0047,14.94914,1.48405,0.50345,0.13191,0.055560000000000005,3.0
16.18958,14.971179999999999,14.85165,14.84361,14.81034,1.2184,0.11953,0.008040000000000005,0.03327,4.0
15.64877,14.65252,14.55741,14.229000000000001,13.339089999999999,0.99625,0.09510999999999997,0.32841,0.88991,4.0
19.23016,18.3024,18.00498,17.90059,17.92182,0.92776,0.29741999999999996,0.10439000000000001,-0.02123,2.0
19.5516,18.16915,17.67501,17.51766,17.46631,1.38245,0.49413999999999997,0.15735,0.05135,3.0
19.860689999999998,18.92849,18.71424,18.6445,18.69504,0.9322,0.21425,0.06974,-0.05054,1.0
20.11109,19.156779999999998,18.8796,18.79799,18.86124,0.95431,0.27718000000000004,0.08161,-0.06325,1.0
16.823339999999998,16.36074,16.67595,16.95703,17.18259,0.4626,-0.31520999999999993,-0.28108,-0.22555999999999998,4.0
20.979470000000003,23.350170000000002,19.81709,22.49563,19.934279999999998,-2.3706999999999994,3.5330800000000004,-2.6785400000000004,2.56135,3.0
17.9658,16.8994,16.51492,16.4039,16.37949,1.0664,0.38448000000000004,0.11102000000000001,0.024409999999999998,3.0
21.01829,19.90415,19.60219,19.5186,19.64724,1.11414,0.30196,0.08359,-0.12864,1.0
20.503770000000003,19.50831,19.09131,19.03989,19.04683,0.99546,0.41700000000000004,0.05142000000000001,-0.006940000000000009,1.0
18.51099,17.3408,16.99619,20.32621,16.81014,1.17019,0.34460999999999997,-3.3300199999999998,3.5160699999999996,3.0
19.98946,18.986520000000002,18.73187,18.66716,18.67735,1.00294,0.25465,0.06471,-0.010190000000000012,1.0
19.684620000000002,18.78899,18.57039,18.50928,18.51809,0.8956299999999999,0.2186,0.061110000000000005,-0.008809999999999998,1.0
21.188470000000002,20.30361,19.94095,19.853720000000003,19.82406,0.8848600000000001,0.36266,0.08723,0.029660000000000002,1.0
19.30285,18.36347,18.1099,18.023770000000003,18.04146,0.9393799999999999,0.25356999999999996,0.08613,-0.017689999999999997,1.0
19.91078,18.93274,18.69221,18.6192,18.63404,0.9780399999999999,0.24053000000000002,0.07301,-0.014840000000000006,1.0
16.42908,14.98056,14.36546,14.109729999999999,13.94392,1.44852,0.6151,0.25573,0.16581,3.0
21.734,22.27515,16.68424,16.35644,16.17051,-0.54115,5.59091,0.3278,0.18592999999999998,3.0
20.67697,19.740489999999998,19.47271,19.41292,19.3881,0.93648,0.26778,0.059789999999999996,0.02482,1.0
20.823,19.876910000000002,19.63608,19.51772,19.41439,0.94609,0.24083000000000002,0.11835999999999999,0.10332999999999999,1.0
15.81645,14.456010000000001,13.893770000000002,15.400870000000001,13.496939999999999,1.3604399999999999,0.56224,-1.5071,1.90393,3.0
20.57923,19.77891,19.51485,19.37666,19.578229999999998,0.80032,0.26406,0.13819,-0.20156999999999997,1.0
20.99277,20.22573,19.87828,19.75645,19.829060000000002,0.7670399999999999,0.34745,0.12183,-0.07261000000000002,1.0
20.37804,19.52563,19.245060000000002,19.16662,19.08295,0.85241,0.28057,0.07844,0.08367000000000001,1.0
19.7988,18.84604,18.651229999999998,18.53211,18.58924,0.95276,0.19480999999999998,0.11912,-0.057129999999999986,1.0
20.48665,19.64091,19.36022,19.2747,19.2429,0.8457399999999999,0.28069,0.08552,0.0318,1.0
20.96453,19.971339999999998,19.69821,19.57674,19.61564,0.99319,0.27313000000000004,0.12147000000000001,-0.03889999999999999,1.0
19.69675,18.78142,18.5691,18.47139,18.635939999999998,0.91533,0.21232,0.09771,-0.16455,1.0
22.29332,19.62914,18.36466,17.86184,17.551270000000002,2.66418,1.2644799999999998,0.5028199999999999,0.31056999999999996,3.0
