kic,bjd0,period
KIC 1026032,54966.773813,8.4604378
KIC 1161345,55005.028983,4.2874555
KIC 1433410,54999.951811,0.2832752
KIC 1433980,55000.366398,1.5926344
KIC 1571511,54954.504752,14.022451
KIC 1572353,54964.674573,0.2289313
KIC 1573836,55000.034563,3.5570929
KIC 1575690,54965.432738,2.2524281
KIC 1868650,54953.769678,0.5847312
KIC 1873513,55001.074635,3.2903828
KIC 2010607,54974.489675,18.632296
KIC 2012362,54964.744705,0.3863229
KIC 2019076,55004.072218,7.1292282
KIC 2141697,54953.836742,0.3310425
KIC 2159783,54964.975549,0.3738842
KIC 2161623,54999.599837,2.2834698
KIC 2162283,54954.341553,0.9063779
KIC 2162994,54965.631653,4.1015955
KIC 2166200,55006.127339,8.0969564
KIC 2167890,55185.843253,2.6483007
KIC 2302092,54964.690581,0.2946734
KIC 2305277,54964.986693,0.3787718
KIC 2305372,54965.954227,1.404692
KIC 2305543,55003.400909,1.3622735
KIC 2306740,54966.425207,10.306987
KIC 2307199,55006.176594,13.4471107
KIC 2308957,54965.166461,2.2196838
KIC 2309587,54965.101351,1.8385106
KIC 2435971,54964.815967,0.271828
KIC 2436378,54969.278076,8.531613
KIC 2437038,54964.980693,0.2676785
KIC 2437060,55000.890724,3.1871104
KIC 2437149,55008.621824,18.7987347
KIC 2437452,54974.81653,14.4699302
KIC 2438061,55004.093627,4.8858521
KIC 2438490,55001.014453,3.3157673
KIC 2440757,54964.685956,1.4337707
KIC 2441161,55004.684524,4.38398
KIC 2444187,54964.814979,0.3901594
KIC 2445134,54972.647749,8.4120089
KIC 2445975,54967.981114,3.3888824
KIC 2447893,54965.113742,0.66162
KIC 2448320,55002.065503,0.2741085
KIC 2449084,55000.319865,0.7397571
KIC 2449090,55001.811037,4.944
KIC 2450566,55001.553286,1.8445871
KIC 2452440,55003.811045,8.0970448
KIC 2453212,55002.014475,0.436716
KIC 2556127,54953.710274,0.4188713
KIC 2557430,54954.461036,1.2977364
KIC 2558370,55000.092666,0.5462481
KIC 2569494,55000.349187,1.5233235
KIC 2570289,54964.579321,0.2790278
KIC 2571439,54964.701572,0.3209791
KIC 2577756,54964.662821,0.8703335
KIC 2580872,54978.551299,15.9266276
KIC 2694741,54953.773721,0.3266474
KIC 2695740,54956.4182,3.6158751
KIC 2696703,54997.116516,6.094094
KIC 2708156,54954.335595,1.8912721
KIC 2711114,54967.174931,2.8588804
KIC 2715007,54964.782119,0.2971105
KIC 2715417,54964.666158,0.2364399
KIC 2717141,54953.756174,0.3945715
KIC 2719436,54999.71536,0.7434797
KIC 2719873,54968.273349,17.2792902
KIC 2720354,54956.215382,2.8213281
KIC 2831632,54954.72996,2.573172
KIC 2835289,55000.442959,0.8577619
KIC 2851100,54965.364973,0.8901084
KIC 2851474,54965.52665,2.7682927
KIC 2852560,54964.912445,11.9613082
KIC 2854432,54964.880329,0.3223256
KIC 2854752,54964.893006,0.4704329
KIC 2854948,55002.410212,0.9743044
KIC 2856960,54964.658506,0.2585073
KIC 2858322,54964.659801,0.4363999
KIC 2860594,54960.317741,5.4999446
KIC 2860788,54965.066911,5.2597422
KIC 2970804,54964.658323,0.6869923
KIC 2972514,54999.881938,0.5034853
KIC 2973509,54958.918282,6.6276114
KIC 2983113,55001.96964,0.3951601
KIC 2988984,54999.991556,0.7130196
KIC 2996347,55002.146322,0.3010109
KIC 2997455,54964.788647,1.12985
KIC 3003991,54964.859085,7.2447788
KIC 3097352,54999.654921,4.02984
KIC 3102024,54958.697369,13.7825215
KIC 3104113,54965.284916,0.846786
KIC 3113266,54964.847534,0.9958613
KIC 3114667,54999.753222,0.8885831
KIC 3115480,54968.194275,3.6937025
KIC 3119295,55000.054095,0.4396981
KIC 3120320,54959.222315,10.2656134
KIC 3122985,54965.600017,0.9934885
KIC 3124420,55000.571511,0.9489508
KIC 3127817,54955.117734,4.3271394
KIC 3127873,54964.982325,0.6715256
KIC 3218683,54965.118326,0.7716695
KIC 3221207,54953.960358,0.4738303
KIC 3228824,54970.345617,0.7309423
KIC 3228863,54954.262345,0.730944
KIC 3230227,54958.702238,7.0471062
KIC 3230578,54958.828915,6.3376101
KIC 3230787,54959.183688,17.7340523
KIC 3231120,55001.478119,3.90009
KIC 3232823,54964.862867,0.4239069
KIC 3240706,54970.003288,5.4898651
KIC 3240976,55002.377433,15.2388691
KIC 3241344,54966.428168,3.9126783
KIC 3241619,54955.247951,1.7033444
KIC 3245776,55001.643004,1.4920589
KIC 3248019,55098.773,2.6682217
KIC 3248332,54956.97501,7.3636066
KIC 3327980,54967.106634,4.2310217
KIC 3335816,54954.355631,7.4220063
KIC 3338660,55002.252623,1.8733805
KIC 3339538,54958.816851,14.6580139
KIC 3339563,54965.37686,0.8412315
KIC 3341934,54970.768578,18.8394967
KIC 3342425,54964.942901,0.3934148
KIC 3342592,54969.191539,17.1773261
KIC 3344427,55000.00311,0.6517851
KIC 3347485,54955.024047,7.5448413
KIC 3348093,55000.364628,7.96442
KIC 3351945,54965.3297,1.0805381
KIC 3352751,54954.597119,3.4954552
KIC 3353233,55002.057634,0.3157777
KIC 3354616,55000.188881,0.2769826
KIC 3427776,54967.239974,4.0166817
KIC 3431321,54954.417815,1.0150487
KIC 3433668,54991.740114,15.0217983
KIC 3437778,55002.015043,0.6355819
KIC 3437800,54964.746426,0.3626791
KIC 3438975,55004.632617,2.9760959
KIC 3439031,54954.068169,5.9520263
KIC 3439180,55002.039112,0.3250651
KIC 3440230,54967.238413,2.881101
KIC 3443519,54953.826091,0.353627
KIC 3443790,54955.20197,1.6657838
KIC 3448245,54953.953327,0.51349
KIC 3449540,54965.493715,3.2120062
KIC 3454864,54964.780262,0.2941204
KIC 3458919,54964.815308,0.892061
KIC 3459199,54999.890746,3.1410343
KIC 3530668,55004.235182,1.9462005
KIC 3542573,54959.807593,6.9427958
KIC 3543270,54966.195961,4.1769294
KIC 3544694,5500.426884,3.8457
KIC 3545476,54964.739951,0.3176886
KIC 3547091,55096.322121,3.3055782
KIC 3547111,55000.126516,1.2078359
KIC 3547315,54999.59663,1.2847
KIC 3549994,55000.000868,0.3471816
KIC 3556229,55000.33747,0.7967202
KIC 3557421,54953.706725,0.3937276
KIC 3558822,54953.844462,1.3534207
KIC 3558981,54965.154915,2.9878585
KIC 3560212,55000.205217,0.3460643
KIC 3633901,54999.655075,0.807387
KIC 3641446,55000.215748,2.1000143
KIC 3654950,55003.927327,8.1347246
