kepid,kepler_name,koi_period,koi_time0bk,koi_duration
KIC 757450,Kepler-75 b,8.884922995,169.991686,2.07004
KIC 1432789,Kepler-745 b,9.93146307,136.49128,5.678
KIC 1718189,Kepler-262 b,13.0607936,137.63148,3.215
KIC 1724719,Kepler-1569 b,5.79179934,133.35814,3.474
KIC 1725016,Kepler-748 b,7.40742502,355.49652,3.675
KIC 1865042,Kepler-746 b,3.4815917,132.98828,1.8069
KIC 1873513,Kepler-1624 b,3.290304098,131.90944,1.7215
KIC 1996180,Kepler-1271 b,3.02558494,134.36744,3.0008
KIC 2142522,Kepler-1224 b,13.32354078,134.03671,3.873
KIC 2165002,Kepler-263 b,16.56806842,146.15285,4.2647
KIC 2302548,Kepler-261 b,10.38122447,268.02421,2.715
KIC 2304320,Kepler-1064 b,16.54081386,133.95274,2.5996
KIC 2307415,Kepler-356 b,4.6126736,132.7757,3.0643
KIC 2307415,Kepler-356 c,13.12162167,133.39526,3.6138
KIC 2438264,Kepler-156 b,4.973455252,170.885791,1.6519
KIC 2438264,Kepler-156 c,15.90688891,177.9305,3.9879
KIC 2441495,Kepler-479 b,12.49340725,138.462232,2.2614
KIC 2556650,Kepler-1124 b,2.852348262,132.044534,0.7051
KIC 2557816,Kepler-575 b,9.3789167,176.45197,3.3427
KIC 2571238,Kepler-19 b,9.286964466,135.9945,3.3649
KIC 2584163,Kepler-754 b,14.5598556,135.95038,5.624
KIC 2692377,Kepler-98 b,1.541676547,170.543719,1.9118
KIC 2693736,Kepler-1034 b,12.12401737,134.955,3.3091
KIC 2713049,Kepler-683 b,2.539183147,169.67494,2.4282
KIC 2715135,Kepler-753 b,5.747711909,133.29939,1.8923
KIC 2716853,Kepler-752 b,18.82744023,196.19088,4.664
KIC 2721030,Kepler-766 b,6.10027621,135.58656,4.7476
KIC 2831055,Kepler-1601 b,2.20923119,131.90288,2.392
KIC 2837111,Kepler-771 b,8.7348852,135.0818,4.49
KIC 2849805,Kepler-773 b,3.749105745,135.10837,1.9826
KIC 2854698,Kepler-260 b,8.18739443,260.86931,3.0472
KIC 2985767,Kepler-1063 b,14.07969236,139.96053,1.375
KIC 2987027,Kepler-489 b,17.276296682,133.839172,3.94738
KIC 2989404,Kepler-323 b,1.6783263,136.05259,2.5123
KIC 2989404,Kepler-323 c,3.553831111,134.64066,3.1029
KIC 2990873,Kepler-1194 b,16.22378479,136.02454,2.5462
KIC 3102384,Kepler-454 b,10.573751447,175.067739,1.7259
KIC 3114167,Kepler-684 b,6.770300385,170.57662,2.0844
KIC 3114811,Kepler-774 b,11.08956602,141.76142,6.2877
KIC 3116412,Kepler-772 b,12.99204853,136.32016,6.0175
KIC 3128552,Kepler-1073 b,8.67890312,133.03651,3.5317
KIC 3128552,Kepler-1073 c,4.02582434,135.42508,2.8059
KIC 3218908,Kepler-770 b,18.92537246,149.49558,3.9835
KIC 3218908,Kepler-770 c,1.475323222,131.83272,2.3155
KIC 3218908,Kepler-770 d,4.15246118,134.57991,2.5755
KIC 3219995,Kepler-1187 b,18.87058705,143.95639,3.4701
KIC 3231341,Kepler-24 b,8.14515981,140.56811,5.073
KIC 3231341,Kepler-24 c,12.33343853,137.58782,6.221
KIC 3231341,Kepler-24 d,4.24439049,137.06643,3.282
KIC 3231341,Kepler-24 e,18.9985279,144.74157,4.529
KIC 3234598,Kepler-383 b,12.90467523,144.32009,3.28
KIC 3234843,Kepler-405 b,10.61368712,140.85316,3.498
KIC 3239945,Kepler-167 b,4.393157678,172.867528,2.4455
KIC 3239945,Kepler-167 c,7.40611676,134.07481,2.8826
KIC 3240158,Kepler-769 b,7.42608123,139.90039,3.6379
KIC 3240158,Kepler-769 c,15.9868932,137.5964,4.158
KIC 3244792,Kepler-1592 b,3.0570982,134.50122,3.571
KIC 3245969,Kepler-768 b,11.39102358,137.70864,2.303
KIC 3323887,Kepler-9 d,1.59295975,182.08924,1.9313
KIC 3326377,Kepler-967 b,13.22714056,142.20251,3.2861
KIC 3338885,Kepler-975 b,1.970340203,131.948389,1.7901
KIC 3342794,Kepler-376 b,4.92031063,135.40577,4.046
KIC 3342794,Kepler-376 c,14.17222858,142.60134,2.6297
KIC 3342970,Kepler-234 b,2.711504086,170.03417,3.0099
KIC 3342970,Kepler-234 c,7.21203748,172.81782,4.0491
KIC 3348082,Kepler-274 b,11.63486009,140.50071,5.466
KIC 3351888,Kepler-685 b,1.625522174,170.8266564,2.38963
KIC 3353050,Kepler-541 b,5.0800579,174.42853,5.207
KIC 3354846,Kepler-1241 b,18.5525162,135.51322,4.385
KIC 3426367,Kepler-1308 b,2.10433534,133.31612,1.1168
KIC 3433668,Kepler-1493 b,15.0219784,143.6989,5.068
KIC 3438507,Kepler-788 b,8.39842977,136.31152,6.344
